d,p,q,MAE,MAPE,mse,r2_score
0,0,0,115.51867509474545,44.349514064089,18869.05275254821,-0.0016452230625154662
0,0,0,115.51867509474545,44.349514064089,18869.05275254821,-0.0016452230625154662
0,1,0,115.49517313723568,44.34049127713046,18864.47488985905,-0.0014022116959901965
0,17,0,111.05711762811568,42.63664897580996,17806.036450263153,0.054783958369372665
0,18,0,115.45036072780789,44.32328705815432,18870.475681983276,-0.0017207578808275947
0,19,0,113.33074996185829,43.50953372002283,18293.080881526814,0.028929680765078625
0,20,0,112.78066503993021,43.298347096202185,18202.27007271403,0.03375028379389189
0,23,0,115.32331261086391,44.27451120226261,18654.82823750532,0.00972667593896559
0,0,1,117.23097499916825,45.00689408191602,19533.70392950239,-0.036927581171834145
0,1,1,116.44037083755217,44.70336817707023,19167.145332106928,-0.017469176297531197
0,17,1,114.40217783394155,43.92087245328514,18825.434068043553,0.0006702321722188431
0,18,1,114.73208625837107,44.047529708461404,18706.811331277237,0.006967204213517264
0,19,1,113.36793793653692,43.52381079344557,18368.43751139079,0.02492944772109884
0,20,1,113.78890715088069,43.6854277794158,18392.716127883796,0.02364064109409414
0,23,1,114.46292652945777,43.94419487387179,18749.637090030556,0.004693840667300164
0,0,2,115.63250301787977,44.39321447074438,18903.372441235886,-0.00346705019299276
0,1,2,110.00013967871467,42.23085780486774,17593.071153593566,0.0660890129942463
0,17,2,111.65157482939588,42.86487084545185,17937.94873992686,0.04778152340150976
0,18,2,109.22388797796738,41.93284204515331,17330.451012226273,0.08002994651805706
0,19,2,111.47804462991385,42.79824975569159,17439.195761064006,0.0742573378113619
0,20,2,111.7250450136882,42.89307725423286,17664.738577675173,0.062284617833453626
0,23,2,110.7795020188093,42.530067790047184,17736.048127950384,0.05849922005389341
0,0,3,114.75055340106132,44.054619547431535,18658.306469448245,0.009542037395842917
0,1,3,115.09114488129681,44.18537820295129,18763.51958639389,0.0039569019163796515
0,17,3,110.59980261607554,42.46107824197357,17469.97072188691,0.0726236790950262
0,18,3,111.60852552886709,42.8483435128999,17907.71619960126,0.04938638825589925
0,19,3,109.48290866585197,42.032284335595136,17503.750282356817,0.07083052414307645
0,20,3,110.82797857564036,42.548678735309444,17698.89097449091,0.06047167122848973
0,23,3,111.46255351009472,42.79230246071333,17881.522315235583,0.05077686500597278
0,0,21,81.28981090933372,31.208491693951384,9452.76214236984,0.49820936064889265
0,1,21,82.54581496295901,31.69069225065896,9677.933319300753,0.486256368800176
0,17,21,49.53399356039723,19.016912566349685,4480.916123605465,0.7621349471532382
0,18,21,50.3370560724517,19.325221436266098,4558.695743494731,0.758006092051957
0,19,21,62.97617405767977,24.177586133002908,6236.8402890516945,0.6689234290423607
0,20,21,84.72980874016052,32.529163282796745,10069.718812900623,0.46545881879722195
0,23,21,65.17937267774502,25.023430219306924,6279.709271952673,0.6666477709845118
0,0,22,77.93535986071718,29.92066291790369,8709.274816454725,0.5376766586726277
0,1,22,77.7852966825967,29.863051202541662,8767.551888704564,0.5345830772513114
0,17,22,52.80100636057455,20.271172364691274,4864.8829512822595,0.7417524433889731
0,18,22,52.92359449448632,20.31823595994591,4803.649464134931,0.7450029632055706
0,19,22,62.57518925358921,24.023641489905895,6149.877404338864,0.6735397687812265
0,20,22,62.55539951587525,24.016043885013442,6164.9134858712105,0.6727415930891043
0,23,22,59.086600711533976,22.684315130052795,5433.505577043905,0.7115676670629596
0,0,23,76.12656000636949,29.22623498654349,8485.559922202545,0.5495523451786909
0,1,23,76.14096626147631,29.23176578416514,8501.678127878231,0.5486967259840703
0,17,23,60.813675850141834,23.347367602621468,5920.714886671373,0.6857046370518726
0,18,23,64.87439954898541,24.906346033117977,6522.552709628736,0.6537566644467201
0,19,23,68.33317400955703,26.234226278089817,7130.513972349109,0.6214836350266991
0,20,23,62.73605369146028,24.085399986044493,6007.836811740759,0.6810798548111225
0,23,23,62.34096604850647,23.93371935983097,5893.84299079751,0.6871311053801809
0,0,24,76.42669652985093,29.341462320637905,8609.589579181098,0.542968352062562
0,1,24,76.24042482966051,29.26994955977425,8571.198214477154,0.5450063201347729
0,17,24,62.68631699316274,24.066305251804867,6146.516803931794,0.6737181629692394
0,18,24,60.76613190034341,23.32911470049531,5858.016526540096,0.68903291821908
0,19,24,58.95294981000156,22.633004356861118,5593.852799014022,0.7030557915054533
0,20,24,59.46524988916925,22.829684759812817,5650.218459150521,0.7000636755279904
0,23,24,56.859276092344594,21.82920867697918,5291.6344022249405,0.7190987597156362
1,0,0,120.26627218934911,46.17219445706496,25648.704142011833,-0.3615363907507452
1,1,0,113.58631320558403,43.60764864094435,22738.759012009246,-0.20706479765779062
1,17,0,108.35629108725944,41.59975736880246,20249.123907102516,-0.07490495144283948
1,18,0,109.67310602035106,42.10530421953504,18813.233030690983,0.0013179123149836824
1,19,0,110.78912867491593,42.53376362121942,21741.08828091655,-0.15410442200494656
1,20,0,109.35369057438554,41.98267539089313,19282.875001234122,-0.02361257267084449
1,23,0,108.5003647635877,41.655069616188825,19591.23120683997,-0.03998136046307055
1,0,1,111.90247778889058,42.96119660682078,21835.798483601782,-0.15913202054627407
1,1,1,111.52482829349596,42.816210771469365,21613.72092711546,-0.14734325051520414
1,17,1,108.32491401025686,41.58771119430579,20211.2133958235,-0.07289250900471256
1,18,1,107.61510709915171,41.315204679138205,19485.35439911858,-0.034360993607457146
1,19,1,107.49531886978069,41.269216013159784,19512.526943253433,-0.0358034215548515
1,20,1,111.15420453564519,42.67392223199463,18337.805181891676,0.02655553499301666
1,23,1,108.73236226698893,41.74413726288307,18606.84758022908,0.012273682234957617
1,0,2,111.54674011018672,42.82462307728658,21635.04685774243,-0.14847531669891745
1,1,2,110.58101693825527,42.45386611214252,20961.433955863544,-0.11271723418101542
1,17,2,108.67563611443084,41.72235916251434,19115.34896136818,-0.014719616581798656
1,18,2,107.78321578878148,41.379744362344546,19761.256691062663,-0.04900699711287815
1,19,2,113.44013281659045,43.55152759201223,18016.16145894007,0.043629677656538135
1,20,2,109.90019994322132,42.19248930123671,18388.2148257129,0.02387958832033643
1,23,2,107.7401327297979,41.363204069368116,18414.743573005224,0.02247133569909121
1,0,3,112.49047294452211,43.18693759115001,22227.88986676206,-0.1799458083975709
1,1,3,110.52065063230086,42.43069049718047,20917.934050806813,-0.11040808423718151
1,17,3,109.11383052786813,41.89058918493801,20389.11149280847,-0.08233605560844137
1,18,3,107.74561736055327,41.365309709072015,19398.43229018083,-0.029746818410758102
1,19,3,114.76340173927521,44.05955223520561,18402.30498873953,0.023131625787565002
1,20,3,110.16230892677764,42.29311723904003,18337.570608394533,0.026567987097844137
1,23,3,109.77160203364689,42.143118454535035,18374.957816604834,0.02458332369165206
1,0,21,75.10415710392698,28.833717743215942,8731.070651468297,0.5365196480738283
1,1,21,74.22007797015438,28.49430526341683,8625.674672591504,0.5421144906001804
1,17,21,59.185974964281186,22.722466535582733,5539.634022198168,0.7059339422801687
1,18,21,67.25890355232875,25.82179622976728,6911.028550318905,0.6331348041336764
1,19,21,59.97483826425261,23.025324095090163,5674.906226548966,0.698753149525068
1,20,21,59.91283113975082,23.001518542975667,5508.316042180788,0.707596426639705
1,23,21,60.65084830668477,23.28485543805026,5509.037385022955,0.7075581348599573
1,0,22,72.87192456313738,27.976727058542068,8245.870914792786,0.5622760018688848
1,1,22,74.08492443313828,28.442417603817283,8517.45315737286,0.5478593239616061
1,17,22,60.01956502131161,23.042495430717086,5560.438117316167,0.7048295772244153
1,18,22,60.82586198396196,23.352046059267536,5735.391821710078,0.6955423308235812
1,19,22,62.192627974673655,23.876769940299518,5951.822070144073,0.6840533426208815
1,20,22,66.21811259726992,25.422219511446198,6686.288637250466,0.6450649027617639
1,23,22,58.59122218625568,22.49413118918039,5258.408223174858,0.7208625389557807
1,0,23,74.91187273413914,28.759896619876223,8694.954614035923,0.538436832621696
1,1,23,71.02209401762153,27.26654677187196,7789.012279767094,0.5865278959829943
1,17,23,64.04333218081612,24.58728563961364,6280.989730358949,0.6665797991015139
1,18,23,63.616712989854264,24.423499534950864,6168.604006242255,0.6725456854222622
1,19,23,60.69817159738734,23.30302362553035,5681.686723680088,0.6983932134620103
1,20,23,69.02979447334596,26.501670299853398,7292.663708589891,0.6128760747608828
1,23,23,65.41335242821117,25.11325888316149,6344.507329729988,0.6632080294199749
1,0,24,69.98416923141944,26.868070422784836,7684.429418218062,0.5920795749707299
1,1,24,65.94632698565873,25.317876557420092,6838.231922253509,0.6369991419842829
1,17,24,60.150291454703414,23.092683452623525,5566.144929753577,0.7045266366639215
1,18,24,56.635929807764015,21.74346237508432,5165.538862049373,0.7257924182221178
1,19,24,65.2662226344038,25.056773342149576,6418.9086433617695,0.6592585084044706
1,20,24,60.16817965572465,23.09955102639133,5585.967916276401,0.7034743527990233
1,23,24,60.45041749094007,23.207906760492662,5539.973122771249,0.7059159414576781
2,0,0,8077.473372781122,3101.0745115856644,87609385.50887689,-4649.658601744491
2,1,0,146.15172926147812,56.11004599089006,34518.81082240565,-0.8323973343808655
2,17,0,108.02608872352081,41.47298726550435,21233.825327124217,-0.1271768638934745
2,18,0,107.7068862427126,41.3504401976793,21059.65709801482,-0.11793131368040788
2,19,0,107.58761868827044,41.30465142734599,20997.26164133596,-0.11461911184691931
2,20,0,212.42507088538397,81.55346883150816,63270.20262242622,-2.3586368669403472
2,23,0,107.21577586289085,41.16189486785223,20023.44496878332,-0.06292500557710357
2,0,1,3737.0966100330097,1434.7326830885474,19004068.174296025,-1007.812384764112
2,1,1,119.81884400544875,46.00041943871158,25893.080465915005,-0.3745088690556848
2,17,1,109.20286929422203,41.924772627722675,21807.466384884363,-0.15762803877719422
2,18,1,107.87912240661475,41.41656448595614,21153.149172331996,-0.12289424906789614
2,19,1,107.61175633947403,41.313918267540004,20993.76279356168,-0.11443337893253891
2,20,1,107.4128854726328,41.23756847995216,20867.102129015813,-0.10770972135120327
2,23,1,114.05858761385949,43.78896253235405,23982.026549414226,-0.2730624397313821
2,0,2,2995.74470213456,1150.115526262473,12257417.885805352,-649.6730482662896
2,1,2,117.31915516960211,45.04074789564461,25086.92330573269,-0.3317148041323561
2,17,2,109.84401619068264,42.17091943713168,21967.126395206513,-0.1661034343760377
2,18,2,108.69244391055673,41.72881195112241,21781.803265802824,-0.1562657371834677
2,19,2,110.57825882710173,42.452807228033144,22551.585016067613,-0.1971288490240608
2,20,2,129.17126841192663,49.590968563415714,29178.719326275637,-0.5489237966277298
2,23,2,130.69281088084085,50.175113673017044,29554.034522397553,-0.5688470369868686
2,0,3,3788.439507638541,1454.444063586809,19463579.831611186,-1032.205111973437
2,1,3,3534.437191409282,1356.9284083329592,16966593.848154344,-899.6550515552827
2,17,3,117.90458923943825,45.26550563713099,25264.549036171,-0.3411438924241623
2,18,3,119.87637234500983,46.02250551182794,25813.92467047769,-0.370306961020487
2,19,3,108.80036229983115,41.770243590802956,18182.71737906202,0.034788219425922584
2,20,3,212.73571474526864,81.67273010438527,64118.06391833894,-2.403644755147978
2,23,3,107.35782136858717,41.216428467267676,18060.660010687305,0.04126751552919983
2,0,21,161.39882349423462,61.963655544129146,40163.39567315444,-1.132034604257067
2,1,21,70.88121154914707,27.2124596815217,7011.381985308086,0.6278076401210975
2,17,21,63.92069831213786,24.540204486032025,6259.463361944749,0.6677225053292579
2,18,21,55.984609600880546,21.49340986494505,4930.837908525828,0.7382512889470051
2,19,21,55.54865740391961,21.326040666202665,4821.1420315075375,0.7440743873635478
2,20,21,61.356035571553626,23.555588395257978,5917.897466160314,0.6858541970660009
2,23,21,66.3825344403415,25.485343753788538,6210.542847218086,0.6703194030394042
2,0,22,107.69100224023272,41.34434206860365,20334.42186039096,-0.07943290992431873
2,1,22,74.9095365178518,28.75899970812575,8840.57000463713,0.5307069819337549
2,17,22,72.05933343901556,27.66475999816817,7610.539223433371,0.5960019637417957
2,18,22,59.920266195355055,23.0043729827692,5630.5581529694,0.7011073236659504
2,19,22,59.336695702517396,22.780330699058243,5520.167185794388,0.7069673202640928
2,20,22,57.11020919885844,21.925546012283228,5084.532822114868,0.7300925446780497
2,23,22,64.66357252265385,24.825406079801226,6133.137715733339,0.6744283787897503
2,0,23,98.50635410004556,37.818205004333706,15764.474763875347,0.16315826510194753
2,1,23,135.00245262757036,51.82965582476009,28108.50752621838,-0.4921126492293675
2,17,23,68.589636458638,26.332686418695637,7047.701459560337,0.6258796563284825
2,18,23,69.41794084731389,26.65068605905508,7244.746286032005,0.6154197243036557
2,19,23,62.86756189259645,24.135888141410266,6066.3948441161165,0.6779713588961489
2,20,23,59.25992644010107,22.750857720075146,5360.359518335426,0.7154505540977263
2,23,23,69.45608831879612,26.665331499038036,7107.330212495561,0.6227143222590934
2,0,24,136.43482760833237,52.37956807316713,30792.951906719747,-0.6346137554358295
2,1,24,81.14687814823253,31.15361746263357,9615.990008608247,0.48954456890589915
2,17,24,67.86194760738019,26.05331473341038,6828.415539821945,0.6375202350512893
2,18,24,67.57660279456994,25.943766179650886,6634.588253149399,0.6478093671206511
2,19,24,62.86026727073751,24.13308761643489,5954.393731573929,0.6839168284873778
2,20,24,60.49319321167063,23.22432906127291,5550.82202687142,0.7053400379870637
2,23,24,58.11192104910895,22.31011962130716,5032.985715948592,0.73282887242758
